学校名称/学部/学科,报考频度,国立・公立,地区归属,是否更新到最新,募集要项下载完毕,募集要项链接（募集要项一览界面的链接）,具体学部PDF,是否招收留学生,是否需要学信网（CSSD）学历验证报告,EJU必要科目,是否需要英语成绩,英语成绩类型,是否必须JLPT成绩,是否有校内考,募集要项发放月份（多期多选）,出愿开始日期,2期出愿开始日期,出愿结束日期,2期出愿结束日期,出愿材料邮寄要求,第一次选考/书类选考,第二次选考/校内考/面试 内容,校内考日期/时间,面试日期/时间,2期面试时间,合格通知日期,2期合格通知时间,入学手续开始时间,2期入学手续开始时间,入学手续截止时间,2期入学手续截止时间,是否必须住民票,是否必须推荐信,有日本初高中经验是否可以申报（有条件需具体填写）,填写人,归属大学,更新时间,审核人,最近修改
東京大学,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.u-tokyo.ac.jp/ja/admissions/undergraduate/e01_02_04.html,,是,,"日语, 理科3选2, 数学コース２",是,"TOEFL iBT, IELTs",否,"小论文, 面试",,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:23,,新领域_学部教务
理科各種,,,,1,0,https://www.u-tokyo.ac.jp/ja/admissions/undergraduate/e01_02_04.html,https://www.u-tokyo.ac.jp/content/400247319.pdf,是,,,是,"TOEFL iBT, IELTs",否,"小论文, 面试",9月,2025/12/01,,2025/12/05,,簡易書留・速達・必着,2025/01/27,,2026/02/25,2026/03/04,,2026/03/10,,2026/03/11,,2026/03/15,,否,是,不可,新领域_学部教务,東京大学,2026/04/25 16:23,,新领域_学部教务
京都大学,常报校,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.kyoto-u.ac.jp/ja/international/students1/study1/undergraduate,,是,,"日语, 物理, 化学, 数学コース２",是,"TOEFL iBT, IELTs",否,口头试问,7月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:23,,新领域_学部教务
大阪大学,常报校,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"日语, 物理, 化学, 生物, 数学コース２",是,TOEFL iBT,否,"口头试问, 数学 笔试, 物理 笔试, 化学 笔试, 生物 笔试",9月,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,,,,,,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,,2025/10/01 12:46,,新领域_学部教务
九州大学,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,1,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"日语 笔试, 口头试问",,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,,2025/10/01 12:52,,新领域_学部教务
東京科学大学（東京工業大学）,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://admissions.titech.ac.jp/admissions/admission/admission/international,,是,,"日语, 物理, 化学, 数学コース２",否,,否,"口头试问, 数学 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 英语 笔试",10月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:30,,新领域_学部教务
東京科学大学理、工、物資理工、情報理工、生命理工、環境・社会理工学院,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,,https://admissions.titech.ac.jp/admissions/admission/admission/international,https://admissions.isct.ac.jp/plugins/cms/component_download_file.php?type=1&pageId=3088&contentsId=&contentsDataId=&prevId=&key=564196ede69c1f85ab6a0d8fac97c6ad.pdf&fileName=r08-guideline-foreign,是,不需要,"日语, 物理, 化学, 数学コース２",否,,否,"物理 笔试, 数学 笔试, 英语 笔试, 日语 笔试, 化学 笔试, 口头试问, 面试",10月,2025/12/22,,2025/12/24,,簡易書留・速達・必着,2026/01/21,线下面试,2026/02/12,2026/02/12,,2026/03/06,,2026/03/06,,2026/03/18,,否,否,不可,聂乔阳,東京科学大学（東京工業大学）,2025/11/01 10:28,,聂乔阳
名古屋大学,常报校,国立,東海（静岡、岐阜、愛知、三重）,1,1,https://www.nagoya-u.ac.jp/admissions/exam/us-exam/cat2/index.html,https://www.nagoya-u.ac.jp/admissions/exam/upload/2026_shihi_yoko.pdf,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, IELTs",否,"口头试问, 小论文",10月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/30 20:26,,新领域_学部教务
北海道大学,常报校,国立,北海道,1,1,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"数学 笔试, 物理 笔试, 化学 笔试, 口头试问",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,,2025/09/17 15:06,,新领域_学部教务
千葉大学,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.chiba-u.ac.jp/admissions/gakubu/annai_boshu.html,,是,不需要,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:32,,新领域_学部教务
筑波大学,常报校,国立,北関東（茨城、栃木、群馬、山梨、長野）,1,1,https://ac.tsukuba.ac.jp/apply/application-guidelines/,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",,"小论文, 口头试问",,,,,,簡易書留・速達・必着,,,,,,,,,,,,否,否,可以，有限制条件,新领域_学部教务,,2025/09/17 15:07,,新领域_学部教务
一橋大学,其他,国立,南関東（埼玉、千葉、東京、神奈川）,0,,https://juken.hit-u.ac.jp/admission/info/guidelines/index.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/05 19:11,,新领域_学部教务
東京外国語大学,其他,国立,南関東（埼玉、千葉、東京、神奈川）,0,,https://www.tufs.ac.jp/admission/exam/guideline/intl-students-1.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/05 19:11,,新领域_学部教务
横浜国立大学,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.ynu.ac.jp/exam/faculty/essential/index.html,,是,,"日语, 物理, 生物, 化学, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"数学 笔试, 面试",11月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:35,,新领域_学部教务
お茶の水女子大学,常报校,国立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.ao.ocha.ac.jp/application/faculty/index.html,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试",,2025/12/09,,2025/12/11,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/09,,2026/03/10,,2026/03/15,,是,否,不可,新领域_学部教务,,2026/04/25 16:36,,新领域_学部教务
東京都立大学,常报校,公立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.tmu.ac.jp/entrance/faculty/application_guideline.html,,是,,,是,"TOEFL iBT, TOEIC 全科, IELTs",,,,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,,,,,,,,,,否,否,可以，有限制条件,新领域_学部教务,,2026/04/25 16:37,,新领域_学部教务
東京都立大学理学部,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,,是,"TOEFL iBT, IELTs",,数学 笔试,,2025/12/04,,2025/12/08,,,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学理学部数理科学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学理学部物理学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学、生物（二选一）, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"物理 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学理学部化学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 化学, 物理、生物（二选一）, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"化学 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学理学部生命科学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"数学 笔试, 物理 笔试, 生物 笔试, 化学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部地理環境学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,TOEFL iBT,,"物理 笔试, 化学 笔试, 生物 笔试, その１, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部都市基盤環境学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,,"物理 笔试, 化学 笔试, その１, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部建築学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 数学コース２",是,"TOEFL iBT, IELTs",,"物理 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部環境応用化学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 数学コース２",是,"TOEFL iBT, IELTs",,"物理 笔试, 化学 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部観光科学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, IELTs",,"物理 笔试, 化学 笔试, 生物 笔试, その１, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学都市環境学部,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,,是,"TOEFL iBT, TOEIC 全科, IELTs",,数学 笔试,,2025/12/04,,2025/12/08,,,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学システムディザイン学部,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,,是,"TOEFL iBT, TOEIC 全科, IELTs",,数学 笔试,,2025/12/04,,2025/12/08,,,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学システムディザイン学部情報科学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学, 生物, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"物理 笔试, 化学 笔试, 生物 笔试, その１, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学システムディザイン学部電気電子工学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 化学、生物（二选一）, 数学コース２",是,"TOEFL iBT, TOEIC 全科, IELTs",,"物理 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学システムディザイン学部機械システム工学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 数学コース２, 化学、生物（二选一）",是,"TOEFL iBT, TOEIC 全科, IELTs",,"物理 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
東京都立大学システムディザイン学部航空宇宙システム工学科,,,,1,,https://www.tmu.ac.jp/extra/download.html?d=assets/files/download/entrance/2026_tsg_bosyuuyoukou.pdf,,是,,"日语, 物理, 数学コース２, 化学、生物（二选一）",是,"TOEFL iBT, TOEIC 全科, IELTs",,"物理 笔试, 数学 笔试, 口头试问",,2025/12/04,,2025/12/08,,簡易書留・速達・必着,,,2026/02/25,2026/02/26,,2026/03/08,,2026/03/10,,2026/03/15,,否,否,可以，有限制条件,新领域_学部教务,東京都立大学,2025/10/01 13:11,,新领域_学部教务
