学校名称/学部/学科,报考频度,国立・公立,地区归属,是否更新到最新,是否已下载pdf,募集要项链接（募集要项一览界面的链接）,具体学部PDF,是否招收留学生,EJU必要科目,是否需要英语成绩,英语成绩类型,是否必须JLPT成绩,是否有校内考,募集要项发放月份（多期多选）,出愿开始日期,2期出愿开始日期,出愿结束日期,2期出愿结束日期,出愿材料邮寄要求,第一次选考/书类选考,第二次选考/校内考/面试 内容,校内考日期/时间,面试日期/时间,2期面试日期/时间,合格通知日期,2期合格通知日期,入学手续开始时间,2期入学手续开始时间,入学手续截止时间,2期入学手续截止时间,是否必须住民票,是否必须推荐信,有日本初高中经验是否可以申报（有条件需具体填写）,填写人,归属大学,更新时间,审核人,最近修改,测试
慶應義塾大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:41,,新领域_学部教务,false
早稲田大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.waseda.jp/inst/admission/assets/uploads/2025/04/adb3945f9c43c494b7b9a92f05959908.pdf,https://www.waseda.jp/inst/admission/assets/uploads/2025/04/adb3945f9c43c494b7b9a92f05959908.pdf,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:41,,新领域_学部教务,false
国際基督教大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.icu.ac.jp/admissions/undergraduate/exam/eju/,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/30 17:44,,新领域_学部教务,false
上智大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://adm.sophia.ac.jp/jpn/gakubu_tokubetsu_ad/gaikokujin/,,是,,,,,,5月,,,,,,,,,,,,,,,,,,,可以，有限制条件,新领域_学部教务,,2025/09/19 15:43,,新领域_学部教务,false
上智大学総合人間科学学部看護学科,,,,1,1,https://adm.sophia.ac.jp/jpn/gakubu_tokubetsu_ad/gaikokujin/,https://adm.sophia.ac.jp/assets/uploads/sites/2/2025/05/2026gaikokujin_application_proc.pdf,是,"日语, 数学コース２, 化学, 生物",是,"TOEFL iBT, IELTs, TOEIC 全科",否,"口头试问, 面试",,2025/07/23,,2025/08/05,,簡易書留・速達・消印,无,线下面试＋口头试问,无校内考,2025/09/20,,2025/10/09,,2025/10/09,,2025/10/23,,,否,,新领域_学部教务,上智大学,2025/09/19 15:43,,新领域_学部教务,false
東京理科大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.tus.ac.jp/admissions/university/guideline/general/,https://www.tus.ac.jp/admissions/uploads/2026/2027_foreign_student.pdf,是,,是,,,"口头试问, 面试",6月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:43,,新领域_学部教务,false
立教大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,0,1,https://www.rikkyo.ac.jp/admissions/undergraduate/foreigner.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:44,,新领域_学部教务,false
青山学院大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.aoyama.ac.jp/admission/undergraduate/request/request.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:45,,新领域_学部教务,false
慶應義塾大学医学部,,,,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,https://www.keio.ac.jp/ja/admissions/docs/ryugaku_medicine_youkou.pdf,是,,是,"TOEFL iBT, IELTs",否,面试,,,,,,簡易書留・速達・必着,,,,,,,,,,,,,,不可,新领域_学部教务,慶應義塾大学,2025/09/19 15:41,,新领域_学部教务,false
慶應義塾大学医学部医学科,,,,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,https://www.keio.ac.jp/ja/admissions/docs/ryugaku_medicine_youkou.pdf,是,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, IELTs",否,"数学 笔试, 面试",,2025/07/04,,2025/07/15,,簡易書留・速達・必着,2025/9/09,1.综合问题（数学知识）2.模拟讲义3.面试,2025/9/28,2025/09/28,,2025/09/30,,2025/12/01,,2025/12/12,,否,是,不可,新领域_学部教务,慶應義塾大学,2025/09/19 15:41,,新领域_学部教务,false
慶應義塾大学理工学部,,,,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,https://www.keio.ac.jp/ja/admissions/docs/ryugaku_youkou.pdf,是,"日语, 数学コース２, 物理, 化学",是,"TOEFL iBT, IELTs",否,无,,2025/10/15,,2025/10/29,,簡易書留・速達・必着,,无面试,无校内考,2025/01/22,,2025/01/24,,2025/01/24,,2025/02/10,,否,否,不可,新领域_学部教务,慶應義塾大学,2025/09/19 15:41,,新领域_学部教务,false
慶應義塾大学総合政策学部,,,,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,https://www.keio.ac.jp/ja/admissions/docs/ryugaku_youkou.pdf,是,"日语, 数学コース２, 理科3选2, 数学コース１, 総合科目",是,"TOEFL iBT, IELTs",否,面试,,2025/10/15,,2025/10/29,,簡易書留・速達・必着,2026/1/9,线上面试,2026/1/21,2026/01/21,,2026/01/23,,2026/01/23,,2026/02/09,,否,是,不可,新领域_学部教务,慶應義塾大学,2025/09/19 15:41,,新领域_学部教务,false
慶應義塾大学環境情報学部,,,,1,1,https://www.keio.ac.jp/ja/admissions/examinations/international-students/,https://www.keio.ac.jp/ja/admissions/docs/ryugaku_youkou.pdf,是,"日语, 数学コース２, 数学コース１, 理科3选2, 総合科目",是,"TOEFL iBT, IELTs",否,面试,,2025/10/15,,2025/10/29,,簡易書留・速達・必着,2026/1/9,线上面试,2026/1/21,2026/01/21,,2026/01/23,,2026/01/23,,2026/02/09,,否,是,不可,新领域_学部教务,慶應義塾大学,2025/09/19 15:41,,新领域_学部教务,false
明治大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.meiji.ac.jp/cip/prospective/admission_exams/undergraduate.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:46,,新领域_学部教务,false
中央大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,0,1,https://www.chuo-u.ac.jp/connect/admission/special/guide/,,是,,,,否,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:46,,新领域_学部教务,false
法政大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.guide.52school.com/guidance/net-hosei-tokubetsu/gid/?_ga=2.155593147.1882903549.1714625516-102588070.1714625516,,是,,是,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 15:47,,新领域_学部教务,false
学習院大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.univ.gakushuin.ac.jp/admissions/faculty-exam/international-student/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:24,,新领域_学部教务,false
学習院大学文学部,,,,1,1,https://www.univ.gakushuin.ac.jp/admissions/faculty-exam/international-student/,https://www.univ.gakushuin.ac.jp/admissions/foreigner_guide2026.pdf,是,日语,否,,否,"小论文, 面试",,2025/08/18,,2025/08/20,,簡易書留・速達・必着,无,最終選考（面接等）,2025/10/04,2024/10/05,,2025/10/10,,2024/10/11,,2025/10/23,,否,否,不可,新领域_学部教务,学習院大学,2025/09/19 20:24,,新领域_学部教务,false
同志社大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://intad.doshisha.ac.jp/intad/japanese_program/guide_entrance_exam.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:24,,新领域_学部教务,false
関西学院大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://ciec.kwansei.ac.jp/page/examination-department.html?_ga=2.166281534.1605252297.1649808092-338828537.1647739860&_gl=1*3aiowk*_gcl_au*NzE1MDg0Mzg3LjE3MTQ2NTA2MDI.*_ga*MTM3MDUyMTc0LjE3MTQ2NTA2MDI.*_ga_6RKBB1G5Y1*MTcxNDY1MDYwMi4xLjEuMTcxNDY1MDY4Ny40OC4wLjA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:25,,新领域_学部教务,false
関西大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.nyusi.kansai-u.ac.jp/admission/foreigner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:25,,新领域_学部教务,false
立命館大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://ritsnet.ritsumei.jp/admission/international/abroad.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:26,,新领域_学部教务,false
立命館アジア太平洋大学,其他,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
日本大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.nihon-u.ac.jp/admission_info/application/international/form_download/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:26,,新领域_学部教务,false
東洋大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/19 20:27,,新领域_学部教务,false
駒澤大学（出願前に事前確認必要）,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,,https://www.komazawa-u.ac.jp/exam/information/private-expense-forign-student.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/08/14 19:58,,新领域_学部教务,false
専修大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.senshu-u.ac.jp/admission/shikenseido/nyushiyokodl.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,聂乔阳,,2025/10/11 14:12,,聂乔阳,false
芝浦工業大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,,https://www.shibaura-it.ac.jp/examinee/undergraduate/exam_special/foreigner.html,,,,,,,,6月,,,,,,,,,,,,,,,,,,,,聂乔阳,,2025/10/11 14:12,,聂乔阳,false
東京都市大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.tcu.ac.jp/entrance/summary/,,,,,,,,,,,,,,,,,,,,,,,,,,,,聂乔阳,,2025/10/11 14:12,,聂乔阳,false
東京電機大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.dendai.ac.jp/about/admission/undergraduate/ryugakusei.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:40,,新领域_学部教务,false
工学院大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.kogakuin.ac.jp/admissions/requirement/method/other/foreign.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:01,,新领域_学部教务,false
津田塾大学,,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.tsuda.ac.jp/admissions/ug-others/ug-special.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:40,,新领域_学部教务,false
日本女子大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.jwu.ac.jp/unv/admission/exam/foreign.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:41,,新领域_学部教务,false
東京女子大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.twcu.ac.jp/main/admissions/dept-info/international.html,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:41,,新领域_学部教务,false
成蹊大学（出願前に認定必要）,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.seikei.ac.jp/university/s-net/admissions/others.html,,,,否,,否,"面试, 口头试问",,,,,,簡易書留・速達・消印,,,,,,,,,,,,是,否,可以，有限制条件,新领域_学部教务,,2026/04/25 20:05,,新领域_学部教务,false
成城大学,其他,私立,,0,0,http://一般選抜のみ,,否,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:05,,新领域_学部教务,false
武蔵大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/06/29 16:54,,新领域_学部教务,false
獨協大学,其他,私立,,0,,http://文系のみ,,否,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/06/29 16:54,,新领域_学部教务,false
明治学院大学,其他,私立,,1,1,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:05,,新领域_学部教务,false
國學院大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/06/29 16:54,,新领域_学部教务,false
聖路加国際大学,其他,私立,,0,,http://外国人修士のみ,,否,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/06/29 16:54,,新领域_学部教务,false
京都産業大学,常报校,私立,,1,1,https://www.kyoto-su.ac.jp/admissions/exam/apply/download/,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:42,,新领域_学部教务,false
近畿大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.kindai.ac.jp/campus-life/international-exchange/foreign-student/exam/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:45,,新领域_学部教务,false
甲南大学,常报校,私立,,1,1,https://ch.konan-u.ac.jp/admission/application/,,是,,,,,,10月,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:06,,新领域_学部教务,false
龍谷大学,常报校,私立,,1,1,https://www.ryukoku.ac.jp/admission/nyushi/foreign/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:46,,新领域_学部教务,false
愛知大学,,私立,,1,1,http://文系のみ,,否,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:46,,新领域_学部教务,false
愛知学院大学,其他,私立,東海（静岡、岐阜、愛知、三重）,1,1,https://navi.agu.ac.jp/examination/other-foreigner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:46,,新领域_学部教务,false
名城大学,其他,私立,,1,1,https://www.meijo-u.ac.jp/admissions/doc/,https://www.meijo-u.ac.jp/admissions/doc/pdf/international_student_yoko.pdf?ver=202406,是,,,,,,,2025/09/12,,2025/09/15,,,,,2025/11/23,2025/11/23,,2025/12/06,,2025/12/06,,2025/12/18,,否,否,,新领域_学部教务,,2025/09/20 05:46,,新领域_学部教务,false
中京大学,其他,私立,東海（静岡、岐阜、愛知、三重）,1,,https://nc.chukyo-u.ac.jp/nyushi/net_shutugan/shorui/,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/08/15 13:30,,新领域_学部教务,false
京都外国語大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
関西外国語大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
大阪経済大学,其他,私立,,1,,http://文系のみ,,,文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
大阪工業大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.oit.ac.jp/admission/outline/document.html#nyushi13,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:55,,新领域_学部教务,false
佛教大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
大東文化大学,常报校,私立,,1,1,https://www.daito.ac.jp/cross/news/details_00640.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:55,,新领域_学部教务,false
東海大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.u-tokai.ac.jp/examination-admissions/exam/#yokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:55,,新领域_学部教务,false
亜細亜大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
帝京大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.teikyo-u.ac.jp/applicants/download#04,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/09/20 05:56,,新领域_学部教务,false
国士舘大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.kokushikan.ac.jp/admission/undergraduate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:11,,新领域_学部教务,false
豊田工業大学,其他,私立,,0,,http://外国政府派遣留学生特別選抜のみ,,否,,,,,"面试, 口头试问",,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
摂南大学,,私立,,1,1,https://www.setsunan.ac.jp/admission/faculty/requirements/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:12,,新领域_学部教务,false
神戸学院大学,常报校,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.kobegakuin.ac.jp/admission/01information/info/admissions/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:13,,新领域_学部教务,false
追手門学院大学,其他,私立,,1,1,https://nyushi.otemon.ac.jp/admission/,,是,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:13,,新领域_学部教务,false
桃山学院大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
名古屋学芸大学,其他,私立,,0,,http://留学生入試なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
昭和女子大学,其他,私立,,1,1,https://www.swu.ac.jp/admission/exam/o_student.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:15,,新领域_学部教务,false
玉川大学,其他,私立,,0,,http://外国人入試なし,,否,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
文教大学,,私立,,1,1,https://www.bunkyo.ac.jp/admission/overview/download/download_special/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:15,,新领域_学部教务,false
北里大学,其他,私立,,0,,http://外国人入試なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
日本赤十字看護大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
西南学院大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
名古屋外国語大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
南山大学,常报校,私立,,1,1,https://www.nanzan-u.ac.jp/admission/nyushi/shubetsu/sonota05.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:16,,新领域_学部教务,false
順天堂大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.juntendo.ac.jp/admission/exam/nyushi/med/exam_info/boshu_youkou.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:27,,新领域_学部教务,false
二松學舍大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
大和大学,其他,私立,,1,1,https://www.yamato-u.ac.jp/admissions/abroad/,,,,否,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:29,,新领域_学部教务,false
大妻女子大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.otsuma.ac.jp/admissions/undergraduate-outline/other/#target02,https://www.otsuma.ac.jp/wp-content/uploads/2025/06/nyushi2026_international-student_and_working-adult_guideline.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:29,,新领域_学部教务,false
東京家政大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.tokyo-kasei.ac.jp/admission/2024.html,https://www.tokyo-kasei.ac.jp/admission/2026ryugakusei_02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:30,,新领域_学部教务,false
同志社女子大学,其他,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.dwc.doshisha.ac.jp/admissions/exam_information/guidelines,https://www.dwc.doshisha.ac.jp/dp/2026_foreignstudent/?pNo=1,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:31,,新领域_学部教务,false
杏林大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.kyorin-u.ac.jp/univ/center/nyugaku/web_youkou/,https://www.kyorin-u.ac.jp/univ/center/nyugaku/web_youkou/PDF/R8_youkou_3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:33,,新领域_学部教务,false
崇城大学,其他,私立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,0,,https://www.sojo-u.ac.jp/nyushi/admissions/foreign/,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
多摩美術大学,其他,私立,,0,,http://芸術のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
大阪医科薬科大学,其他,私立,,0,,http://一般選抜のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
東京医科大学,其他,私立,,0,,http://一般選抜のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
東京慈恵会医科大学,其他,私立,,0,,http://一般選抜のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
東北芸術工科大学,其他,私立,,1,1,https://www.tuad.ac.jp/adm/information/dept/,,,,,,否,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:38,,新领域_学部教务,false
産業能率大学,其他,私立,,0,,http://文系のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
愛知工業大学,常报校,私立,東海（静岡、岐阜、愛知、三重）,1,1,https://www.ait.ac.jp/examinee/pamphlet/guidelines/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:38,,新领域_学部教务,false
神奈川大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,0,,https://www.kanagawa-u.ac.jp/admissions/faculty/foreignstudent/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2025/06/03 19:08,,新领域_学部教务,false
千葉工業大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://it-chiba.com/nyushi/system/spe/foreigner/,https://it-chiba.org//catalog/tokubetusenbatu_R8/#page=1,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:41,,新领域_学部教务,false
武蔵野大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.musashino-u.ac.jp/admission/download/international_students.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:42,,新领域_学部教务,false
京都橘大学,其他,私立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,1,https://www.tachibana-u.ac.jp/admission/international_student/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:43,,新领域_学部教务,false
中部大学,其他,私立,東海（静岡、岐阜、愛知、三重）,1,1,https://www.chubu.ac.jp/admissions/entrance-exams/guide/,https://www.chubu.ac.jp/admissions/wp-content/uploads/sites/15/2025/05/admissions-entrance-exams-guide-Z-yoko.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:44,,新领域_学部教务,false
東京農業大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.nodai.ac.jp/admission/info/webentry/,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:45,,新领域_学部教务,false
武蔵野美術大学,其他,私立,南関東（埼玉、千葉、東京、神奈川）,0,,http://芸術のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,李迪,,2025/06/02 18:10,,李迪,false
明星大学,常报校,私立,南関東（埼玉、千葉、東京、神奈川）,1,1,https://www.meisei-u.ac.jp/admission/outline/international.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:46,,新领域_学部教务,false
福岡大学,其他,私立,,1,1,https://www.kokusai.fukuoka-u.ac.jp/inbound/undergraduate/undergraduate_admission/exam/,https://fukuoka-u.app.box.com/s/snwfyef31leldm7mrc90yhet7k1z6gdh,,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 20:48,,新领域_学部教务,false
