school,hensachi,qs,tier,source,note
HAL大阪,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
IPU環太平洋大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
お茶の水女子大学,65,800,S级,toshin_hensachi_2026,matched=お茶の水女子大学
くらしき作陽大学,48,9999,C级,toshin_hensachi_2026,matched=くらしき作陽大学
びわこ成蹊スポーツ大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
ものつくり大学,54,9999,C级,toshin_hensachi_2026,matched=ものつくり大学
グローバルBiz専門職大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
テンプル大学ジャパンキャンパス,58,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
デジタルハリウッド大学,55,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
ハリウッド大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
フェリス女学院大学,55,9999,B级,toshin_hensachi_2026,matched=フェリス女学院大学
ルーテル学院大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
レイクランド大学ジャパンキャンパス,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
一橋大学,68,400,S级,toshin_hensachi_2026,matched=一橋大学
三重大学,59,9999,B级,toshin_hensachi_2026,matched=三重大学
上智大学,67,700,S级,toshin_hensachi_2026,matched=上智大学
上武大学,54,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
上海大学東京校,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
上越教育大学,56,9999,B级,toshin_hensachi_2026,matched=上越教育大学
下関市立大学,61,9999,A级,toshin_hensachi_2026,matched=下関市立大学
中京大学,63,9999,A级,toshin_hensachi_2026,matched=中京大学
中京学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
中国学園大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
中央大学,67,800,S级,toshin_hensachi_2026,matched=中央大学
中央学院大学,52,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
中日本自動車短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
中村学園大学,50,9999,C级,toshin_hensachi_2026,matched=中村学園大学
中部大学,57,9999,B级,toshin_hensachi_2026,matched=中部大学
久留米大学,50,9999,C级,toshin_hensachi_2026,matched=久留米大学
久留米工業大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
九州ルーテル学院大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
九州共立大学,49,9999,C级,toshin_hensachi_2026,matched=九州共立大学
九州国際大学,44,9999,C级,toshin_hensachi_2026,matched=九州国際大学
九州大学,64,167,A级,toshin_hensachi_2026,matched=九州大学
